season,team,player_name
2020,GT,Sai Sudharsan
2020,GT,David Miller
2020,GT,Hardik Pandya
2020,GT,Rahul Tewatia
2020,GT,Vijay Shankar
2020,GT,Rashid Khan
2020,GT,Mohammed Shami
2020,GT,Noor Ahmad
2020,GT,Joshua Little
2020,GT,Alzarri Joseph
2020,GT,Yash Dayal
2020,GT,Darshan Nalkande
2020,GT,Matthew Wade
2020,LSG,KL Rahul
2020,LSG,Quinton de Kock
2020,LSG,Deepak Hooda
2020,LSG,Marcus Stoinis
2020,LSG,Nicholas Pooran
2020,LSG,Ayush Badoni
2020,LSG,Krunal Pandya
2020,LSG,Ravi Bishnoi
2020,LSG,Mark Wood
2020,LSG,Avesh Khan
2020,LSG,Mohsin Khan
2020,LSG,Kyle Mayers
2020,LSG,Yash Thakur
2020,LSG,Daniel Sams
2020,LSG,Prerak Mankad
2021,MI,Rohit Sharma
2021,MI,Ishan Kishan
2021,MI,Suryakumar Yadav
2021,MI,Tilak Varma
2021,MI,Hardik Pandya
2021,MI,Tim David
2021,MI,Nehal Wadhera
2021,MI,Cameron Green
2021,MI,Jasprit Bumrah
2021,MI,Piyush Chawla
2021,MI,Arjun Tendulkar
2021,MI,Romario Shepherd
2021,MI,Gerald Coetzee
2021,MI,Akash Madhwal
2021,MI,Shams Mulani
2021,CSK,MS Dhoni
2021,CSK,Ruturaj Gaikwad
2021,CSK,Devon Conway
2021,CSK,Ajinkya Rahane
2021,CSK,Shivam Dube
2021,CSK,Ravindra Jadeja
2021,CSK,Moeen Ali
2021,CSK,Deepak Chahar
2021,CSK,Tushar Deshpande
2021,CSK,Matheesha Pathirana
2021,CSK,Mitchell Santner
2021,CSK,Maheesh Theekshana
2021,CSK,Ben Stokes
2021,CSK,Dwaine Pretorius
2021,CSK,Ambati Rayudu
2021,RCB,Virat Kohli
2021,RCB,Faf du Plessis
2021,RCB,Glenn Maxwell
2021,RCB,Rajat Patidar
2021,RCB,Dinesh Karthik
2021,RCB,Mahipal Lomror
2021,RCB,Shahbaz Ahmed
2021,RCB,Wanindu Hasaranga
2021,RCB,Mohammed Siraj
2021,RCB,Harshal Patel
2021,RCB,Josh Hazlewood
2021,RCB,Reece Topley
2021,RCB,Karn Sharma
2021,RCB,Anuj Rawat
2021,RCB,Finn Allen
2021,KKR,Shreyas Iyer
2021,KKR,Nitish Rana
2021,KKR,Rinku Singh
2021,KKR,Andre Russell
2021,KKR,Sunil Narine
2021,KKR,Venkatesh Iyer
2021,KKR,Rahmanullah Gurbaz
2021,KKR,Jason Roy
2021,KKR,Varun Chakravarthy
2021,KKR,Umesh Yadav
2021,KKR,Lockie Ferguson
2021,KKR,Mitchell Starc
2021,KKR,Harshit Rana
2021,KKR,Suyash Sharma
2021,KKR,Anukul Roy
2021,DC,David Warner
2021,DC,Prithvi Shaw
2021,DC,Rishabh Pant
2021,DC,Mitchell Marsh
2021,DC,Axar Patel
2021,DC,Lalit Yadav
2021,DC,Rovman Powell
2021,DC,Kuldeep Yadav
2021,DC,Anrich Nortje
2021,DC,Khaleel Ahmed
2021,DC,Chetan Sakariya
2021,DC,Mukesh Kumar
2021,DC,Ishant Sharma
2021,DC,Sarfaraz Khan
2021,DC,Phil Salt
2021,SRH,Aiden Markram
2021,SRH,Abhishek Sharma
2021,SRH,Rahul Tripathi
2021,SRH,Heinrich Klaasen
2021,SRH,Mayank Agarwal
2021,SRH,Washington Sundar
2021,SRH,Marco Jansen
2021,SRH,Bhuvneshwar Kumar
2021,SRH,Umran Malik
2021,SRH,T Natarajan
2021,SRH,Fazalhaq Farooqi
2021,SRH,Glenn Phillips
2021,SRH,Adil Rashid
2021,SRH,Harry Brook
2021,SRH,Abdul Samad
2021,RR,Sanju Samson
2021,RR,Jos Buttler
2021,RR,Yashasvi Jaiswal
2021,RR,Shimron Hetmyer
2021,RR,Riyan Parag
2021,RR,Dhruv Jurel
2021,RR,Ravichandran Ashwin
2021,RR,Yuzvendra Chahal
2021,RR,Trent Boult
2021,RR,Prasidh Krishna
2021,RR,Sandeep Sharma
2021,RR,Adam Zampa
2021,RR,Jason Holder
2021,RR,Obed McCoy
2021,RR,Devdutt Padikkal
2021,PBKS,Shikhar Dhawan
2021,PBKS,Jonny Bairstow
2021,PBKS,Prabhsimran Singh
2021,PBKS,Liam Livingstone
2021,PBKS,Jitesh Sharma
2021,PBKS,Shahrukh Khan
2021,PBKS,Sam Curran
2021,PBKS,Sikandar Raza
2021,PBKS,Kagiso Rabada
2021,PBKS,Arshdeep Singh
2021,PBKS,Rahul Chahar
2021,PBKS,Nathan Ellis
2021,PBKS,Harpreet Brar
2021,PBKS,Rishi Dhawan
2021,PBKS,Atharva Taide
2021,GT,Shubman Gill
2021,GT,Wriddhiman Saha
2021,GT,Sai Sudharsan
2021,GT,David Miller
2021,GT,Hardik Pandya
2021,GT,Rahul Tewatia
2021,GT,Vijay Shankar
2021,GT,Rashid Khan
2021,GT,Mohammed Shami
2021,GT,Noor Ahmad
2021,GT,Joshua Little
2021,GT,Alzarri Joseph
2021,GT,Yash Dayal
2021,GT,Darshan Nalkande
2021,GT,Matthew Wade
2021,LSG,KL Rahul
2021,LSG,Quinton de Kock
2021,LSG,Deepak Hooda
2021,LSG,Marcus Stoinis
2021,LSG,Nicholas Pooran
2021,LSG,Ayush Badoni
2021,LSG,Krunal Pandya
2021,LSG,Ravi Bishnoi
2021,LSG,Mark Wood
2021,LSG,Avesh Khan
2021,LSG,Mohsin Khan
2021,LSG,Kyle Mayers
2021,LSG,Yash Thakur
2021,LSG,Daniel Sams
2021,LSG,Prerak Mankad
2022,MI,Rohit Sharma
2022,MI,Ishan Kishan
2022,MI,Suryakumar Yadav
2022,MI,Tilak Varma
2022,MI,Hardik Pandya
2022,MI,Tim David
2022,MI,Nehal Wadhera
2022,MI,Cameron Green
2022,MI,Jasprit Bumrah
2022,MI,Piyush Chawla
2022,MI,Arjun Tendulkar
2022,MI,Romario Shepherd
2022,MI,Gerald Coetzee
2022,MI,Akash Madhwal
2022,MI,Shams Mulani
2022,CSK,MS Dhoni
2022,CSK,Ruturaj Gaikwad
2022,CSK,Devon Conway
2022,CSK,Ajinkya Rahane
2022,CSK,Shivam Dube
2022,CSK,Ravindra Jadeja
2022,CSK,Moeen Ali
2022,CSK,Deepak Chahar
2022,CSK,Tushar Deshpande
2022,CSK,Matheesha Pathirana
2022,CSK,Mitchell Santner
2022,CSK,Maheesh Theekshana
2022,CSK,Ben Stokes
2022,CSK,Dwaine Pretorius
2022,CSK,Ambati Rayudu
2022,RCB,Virat Kohli
2022,RCB,Faf du Plessis
2022,RCB,Glenn Maxwell
2022,RCB,Rajat Patidar
2022,RCB,Dinesh Karthik
2022,RCB,Mahipal Lomror
2022,RCB,Shahbaz Ahmed
2022,RCB,Wanindu Hasaranga
2022,RCB,Mohammed Siraj
2022,RCB,Harshal Patel
2022,RCB,Josh Hazlewood
2022,RCB,Reece Topley
2022,RCB,Karn Sharma
2022,RCB,Anuj Rawat
2022,RCB,Finn Allen
2022,KKR,Shreyas Iyer
2022,KKR,Nitish Rana
2022,KKR,Rinku Singh
2022,KKR,Andre Russell
2022,KKR,Sunil Narine
2022,KKR,Venkatesh Iyer
2022,KKR,Rahmanullah Gurbaz
2022,KKR,Jason Roy
2022,KKR,Varun Chakravarthy
2022,KKR,Umesh Yadav
2022,KKR,Lockie Ferguson
2022,KKR,Mitchell Starc
2022,KKR,Harshit Rana
2022,KKR,Suyash Sharma
2022,KKR,Anukul Roy
2022,DC,David Warner
2022,DC,Prithvi Shaw
2022,DC,Rishabh Pant
2022,DC,Mitchell Marsh
2022,DC,Axar Patel
2022,DC,Lalit Yadav
2022,DC,Rovman Powell
2022,DC,Kuldeep Yadav
2022,DC,Anrich Nortje
2022,DC,Khaleel Ahmed
2022,DC,Chetan Sakariya
2022,DC,Mukesh Kumar
2022,DC,Ishant Sharma
2022,DC,Sarfaraz Khan
2022,DC,Phil Salt
2022,SRH,Aiden Markram
2022,SRH,Abhishek Sharma
2022,SRH,Rahul Tripathi
2022,SRH,Heinrich Klaasen
2022,SRH,Mayank Agarwal
2022,SRH,Washington Sundar
2022,SRH,Marco Jansen
2022,SRH,Bhuvneshwar Kumar
2022,SRH,Umran Malik
2022,SRH,T Natarajan
2022,SRH,Fazalhaq Farooqi
2022,SRH,Glenn Phillips
2022,SRH,Adil Rashid
2022,SRH,Harry Brook
2022,SRH,Abdul Samad
2022,RR,Sanju Samson
2022,RR,Jos Buttler
2022,RR,Yashasvi Jaiswal
2022,RR,Shimron Hetmyer
2022,RR,Riyan Parag
2022,RR,Dhruv Jurel
2022,RR,Ravichandran Ashwin
2022,RR,Yuzvendra Chahal
2022,RR,Trent Boult
2022,RR,Prasidh Krishna
2022,RR,Sandeep Sharma
2022,RR,Adam Zampa
2022,RR,Jason Holder
2022,RR,Obed McCoy
2022,RR,Devdutt Padikkal
2022,PBKS,Shikhar Dhawan
2022,PBKS,Jonny Bairstow
2022,PBKS,Prabhsimran Singh
2022,PBKS,Liam Livingstone
2022,PBKS,Jitesh Sharma
2022,PBKS,Shahrukh Khan
2022,PBKS,Sam Curran
2022,PBKS,Sikandar Raza
2022,PBKS,Kagiso Rabada
2022,PBKS,Arshdeep Singh
2022,PBKS,Rahul Chahar
2022,PBKS,Nathan Ellis
2022,PBKS,Harpreet Brar
2022,PBKS,Rishi Dhawan
2022,PBKS,Atharva Taide
2022,GT,Shubman Gill
2022,GT,Wriddhiman Saha
2022,GT,Sai Sudharsan
2022,GT,David Miller
2022,GT,Hardik Pandya
2022,GT,Rahul Tewatia
2022,GT,Vijay Shankar
2022,GT,Rashid Khan
2022,GT,Mohammed Shami
2022,GT,Noor Ahmad
2022,GT,Joshua Little
2022,GT,Alzarri Joseph
2022,GT,Yash Dayal
2022,GT,Darshan Nalkande
2022,GT,Matthew Wade
2022,LSG,KL Rahul
2022,LSG,Quinton de Kock
2022,LSG,Deepak Hooda
2022,LSG,Marcus Stoinis
2022,LSG,Nicholas Pooran
2022,LSG,Ayush Badoni
2022,LSG,Krunal Pandya
2022,LSG,Ravi Bishnoi
2022,LSG,Mark Wood
2022,LSG,Avesh Khan
2022,LSG,Mohsin Khan
2022,LSG,Kyle Mayers
2022,LSG,Yash Thakur
2022,LSG,Daniel Sams
2022,LSG,Prerak Mankad
2023,MI,Rohit Sharma
2023,MI,Ishan Kishan
2023,MI,Suryakumar Yadav
2023,MI,Tilak Varma
2023,MI,Hardik Pandya
2023,MI,Tim David
2023,MI,Nehal Wadhera
2023,MI,Cameron Green
2023,MI,Jasprit Bumrah
2023,MI,Piyush Chawla
2023,MI,Arjun Tendulkar
2023,MI,Romario Shepherd
2023,MI,Gerald Coetzee
2023,MI,Akash Madhwal
2023,MI,Shams Mulani
2023,CSK,MS Dhoni
2023,CSK,Ruturaj Gaikwad
2023,CSK,Devon Conway
2023,CSK,Ajinkya Rahane
2023,CSK,Shivam Dube
2023,CSK,Ravindra Jadeja
2023,CSK,Moeen Ali
2023,CSK,Deepak Chahar
2023,CSK,Tushar Deshpande
2023,CSK,Matheesha Pathirana
2023,CSK,Mitchell Santner
2023,CSK,Maheesh Theekshana
2023,CSK,Ben Stokes
2023,CSK,Dwaine Pretorius
2023,CSK,Ambati Rayudu
2023,RCB,Virat Kohli
2023,RCB,Faf du Plessis
2023,RCB,Glenn Maxwell
2023,RCB,Rajat Patidar
2023,RCB,Dinesh Karthik
2023,RCB,Mahipal Lomror
2023,RCB,Shahbaz Ahmed
2023,RCB,Wanindu Hasaranga
2023,RCB,Mohammed Siraj
2023,RCB,Harshal Patel
2023,RCB,Josh Hazlewood
2023,RCB,Reece Topley
2023,RCB,Karn Sharma
2023,RCB,Anuj Rawat
2023,RCB,Finn Allen
2023,KKR,Shreyas Iyer
2023,KKR,Nitish Rana
2023,KKR,Rinku Singh
2023,KKR,Andre Russell
2023,KKR,Sunil Narine
2023,KKR,Venkatesh Iyer
2023,KKR,Rahmanullah Gurbaz
2023,KKR,Jason Roy
2023,KKR,Varun Chakravarthy
2023,KKR,Umesh Yadav
2023,KKR,Lockie Ferguson
2023,KKR,Mitchell Starc
2023,KKR,Harshit Rana
2023,KKR,Suyash Sharma
2023,KKR,Anukul Roy
2023,DC,David Warner
2023,DC,Prithvi Shaw
2023,DC,Rishabh Pant
2023,DC,Mitchell Marsh
2023,DC,Axar Patel
2023,DC,Lalit Yadav
2023,DC,Rovman Powell
2023,DC,Kuldeep Yadav
2023,DC,Anrich Nortje
2023,DC,Khaleel Ahmed
2023,DC,Chetan Sakariya
2023,DC,Mukesh Kumar
2023,DC,Ishant Sharma
2023,DC,Sarfaraz Khan
2023,DC,Phil Salt
2023,SRH,Aiden Markram
2023,SRH,Abhishek Sharma
2023,SRH,Rahul Tripathi
2023,SRH,Heinrich Klaasen
2023,SRH,Mayank Agarwal
2023,SRH,Washington Sundar
2023,SRH,Marco Jansen
2023,SRH,Bhuvneshwar Kumar
2023,SRH,Umran Malik
2023,SRH,T Natarajan
2023,SRH,Fazalhaq Farooqi
2023,SRH,Glenn Phillips
2023,SRH,Adil Rashid
2023,SRH,Harry Brook
2023,SRH,Abdul Samad
2023,RR,Sanju Samson
2023,RR,Jos Buttler
2023,RR,Yashasvi Jaiswal
2023,RR,Shimron Hetmyer
2023,RR,Riyan Parag
2023,RR,Dhruv Jurel
2023,RR,Ravichandran Ashwin
2023,RR,Yuzvendra Chahal
2023,RR,Trent Boult
2023,RR,Prasidh Krishna
2023,RR,Sandeep Sharma
2023,RR,Adam Zampa
2023,RR,Jason Holder
2023,RR,Obed McCoy
2023,RR,Devdutt Padikkal
2023,PBKS,Shikhar Dhawan
2023,PBKS,Jonny Bairstow
2023,PBKS,Prabhsimran Singh
2023,PBKS,Liam Livingstone
2023,PBKS,Jitesh Sharma
2023,PBKS,Shahrukh Khan
2023,PBKS,Sam Curran
2023,PBKS,Sikandar Raza
2023,PBKS,Kagiso Rabada
2023,PBKS,Arshdeep Singh
2023,PBKS,Rahul Chahar
2023,PBKS,Nathan Ellis
2023,PBKS,Harpreet Brar
2023,PBKS,Rishi Dhawan
2023,PBKS,Atharva Taide
2023,GT,Shubman Gill
2023,GT,Wriddhiman Saha
2023,GT,Sai Sudharsan
2023,GT,David Miller
2023,GT,Hardik Pandya
2023,GT,Rahul Tewatia
2023,GT,Vijay Shankar
2023,GT,Rashid Khan
2023,GT,Mohammed Shami
2023,GT,Noor Ahmad
2023,GT,Joshua Little
2023,GT,Alzarri Joseph
2023,GT,Yash Dayal
2023,GT,Darshan Nalkande
2023,GT,Matthew Wade
2023,LSG,KL Rahul
2023,LSG,Quinton de Kock
2023,LSG,Deepak Hooda
2023,LSG,Marcus Stoinis
2023,LSG,Nicholas Pooran
2023,LSG,Ayush Badoni
2023,LSG,Krunal Pandya
2023,LSG,Ravi Bishnoi
2023,LSG,Mark Wood
2023,LSG,Avesh Khan
2023,LSG,Mohsin Khan
2023,LSG,Kyle Mayers
2023,LSG,Yash Thakur
2023,LSG,Daniel Sams
2023,LSG,Prerak Mankad
2024,MI,Rohit Sharma
2024,MI,Ishan Kishan
2024,MI,Suryakumar Yadav
2024,MI,Tilak Varma
2024,MI,Hardik Pandya
2024,MI,Tim David
2024,MI,Nehal Wadhera
2024,MI,Cameron Green
2024,MI,Jasprit Bumrah
2024,MI,Piyush Chawla
2024,MI,Arjun Tendulkar
2024,MI,Romario Shepherd
2024,MI,Gerald Coetzee
2024,MI,Akash Madhwal
2024,MI,Shams Mulani
2024,CSK,MS Dhoni
2024,CSK,Ruturaj Gaikwad
2024,CSK,Devon Conway
2024,CSK,Ajinkya Rahane
2024,CSK,Shivam Dube
2024,CSK,Ravindra Jadeja
2024,CSK,Moeen Ali
2024,CSK,Deepak Chahar
2024,CSK,Tushar Deshpande
2024,CSK,Matheesha Pathirana
2024,CSK,Mitchell Santner
2024,CSK,Maheesh Theekshana
2024,CSK,Ben Stokes
2024,CSK,Dwaine Pretorius
2024,CSK,Ambati Rayudu
2024,RCB,Virat Kohli
2024,RCB,Faf du Plessis
2024,RCB,Glenn Maxwell
2024,RCB,Rajat Patidar
2024,RCB,Dinesh Karthik
2024,RCB,Mahipal Lomror
2024,RCB,Shahbaz Ahmed
2024,RCB,Wanindu Hasaranga
2024,RCB,Mohammed Siraj
2024,RCB,Harshal Patel
2024,RCB,Josh Hazlewood
2024,RCB,Reece Topley
2024,RCB,Karn Sharma
2024,RCB,Anuj Rawat
2024,RCB,Finn Allen
2024,KKR,Shreyas Iyer
2024,KKR,Nitish Rana
2024,KKR,Rinku Singh
2024,KKR,Andre Russell
2024,KKR,Sunil Narine
2024,KKR,Venkatesh Iyer
2024,KKR,Rahmanullah Gurbaz
2024,KKR,Jason Roy
2024,KKR,Varun Chakravarthy
2024,KKR,Umesh Yadav
2024,KKR,Lockie Ferguson
2024,KKR,Mitchell Starc
2024,KKR,Harshit Rana
2024,KKR,Suyash Sharma
2024,KKR,Anukul Roy
2024,DC,David Warner
2024,DC,Prithvi Shaw
2024,DC,Rishabh Pant
2024,DC,Mitchell Marsh
2024,DC,Axar Patel
2024,DC,Lalit Yadav
2024,DC,Rovman Powell
2024,DC,Kuldeep Yadav
2024,DC,Anrich Nortje
2024,DC,Khaleel Ahmed
2024,DC,Chetan Sakariya
2024,DC,Mukesh Kumar
2024,DC,Ishant Sharma
2024,DC,Sarfaraz Khan
2024,DC,Phil Salt
2024,SRH,Aiden Markram
2024,SRH,Abhishek Sharma
2024,SRH,Rahul Tripathi
2024,SRH,Heinrich Klaasen
2024,SRH,Mayank Agarwal
2024,SRH,Washington Sundar
2024,SRH,Marco Jansen
2024,SRH,Bhuvneshwar Kumar
2024,SRH,Umran Malik
2024,SRH,T Natarajan
2024,SRH,Fazalhaq Farooqi
2024,SRH,Glenn Phillips
2024,SRH,Adil Rashid
2024,SRH,Harry Brook
2024,SRH,Abdul Samad
2024,RR,Sanju Samson
2024,RR,Jos Buttler
2024,RR,Yashasvi Jaiswal
2024,RR,Shimron Hetmyer
2024,RR,Riyan Parag
2024,RR,Dhruv Jurel
2024,RR,Ravichandran Ashwin
2024,RR,Yuzvendra Chahal
2024,RR,Trent Boult
2024,RR,Prasidh Krishna
2024,RR,Sandeep Sharma
2024,RR,Adam Zampa
2024,RR,Jason Holder
2024,RR,Obed McCoy
2024,RR,Devdutt Padikkal
2024,PBKS,Shikhar Dhawan
2024,PBKS,Jonny Bairstow
2024,PBKS,Prabhsimran Singh
2024,PBKS,Liam Livingstone
2024,PBKS,Jitesh Sharma
2024,PBKS,Shahrukh Khan
2024,PBKS,Sam Curran
2024,PBKS,Sikandar Raza
2024,PBKS,Kagiso Rabada
2024,PBKS,Arshdeep Singh
2024,PBKS,Rahul Chahar
2024,PBKS,Nathan Ellis
2024,PBKS,Harpreet Brar
2024,PBKS,Rishi Dhawan
2024,PBKS,Atharva Taide
2024,GT,Shubman Gill
2024,GT,Wriddhiman Saha
2024,GT,Sai Sudharsan
2024,GT,David Miller
2024,GT,Hardik Pandya
2024,GT,Rahul Tewatia
2024,GT,Vijay Shankar
2024,GT,Rashid Khan
2024,GT,Mohammed Shami
2024,GT,Noor Ahmad
2024,GT,Joshua Little
2024,GT,Alzarri Joseph
2024,GT,Yash Dayal
2024,GT,Darshan Nalkande
2024,GT,Matthew Wade
2024,LSG,KL Rahul
2024,LSG,Quinton de Kock
2024,LSG,Deepak Hooda
2024,LSG,Marcus Stoinis
2024,LSG,Nicholas Pooran
2024,LSG,Ayush Badoni
2024,LSG,Krunal Pandya
2024,LSG,Ravi Bishnoi
2024,LSG,Mark Wood
2024,LSG,Avesh Khan
2024,LSG,Mohsin Khan
2024,LSG,Kyle Mayers
2024,LSG,Yash Thakur
2024,LSG,Daniel Sams
2024,LSG,Prerak Mankad
2025,MI,Rohit Sharma
2025,MI,Ishan Kishan
2025,MI,Suryakumar Yadav
2025,MI,Tilak Varma
2025,MI,Hardik Pandya
2025,MI,Tim David
2025,MI,Nehal Wadhera
2025,MI,Cameron Green
2025,MI,Jasprit Bumrah
2025,MI,Piyush Chawla
2025,MI,Arjun Tendulkar
2025,MI,Romario Shepherd
2025,MI,Gerald Coetzee
2025,MI,Akash Madhwal
2025,MI,Shams Mulani
2025,CSK,MS Dhoni
2025,CSK,Ruturaj Gaikwad
2025,CSK,Devon Conway
2025,CSK,Ajinkya Rahane
2025,CSK,Shivam Dube
2025,CSK,Ravindra Jadeja
2025,CSK,Moeen Ali
2025,CSK,Deepak Chahar
2025,CSK,Tushar Deshpande
2025,CSK,Matheesha Pathirana
2025,CSK,Mitchell Santner
2025,CSK,Maheesh Theekshana
2025,CSK,Ben Stokes
2025,CSK,Dwaine Pretorius
2025,CSK,Ambati Rayudu
2025,RCB,Virat Kohli
2025,RCB,Faf du Plessis
2025,RCB,Glenn Maxwell
2025,RCB,Rajat Patidar
2025,RCB,Dinesh Karthik
2025,RCB,Mahipal Lomror
2025,RCB,Shahbaz Ahmed
2025,RCB,Wanindu Hasaranga
2025,RCB,Mohammed Siraj
2025,RCB,Harshal Patel
2025,RCB,Josh Hazlewood
2025,RCB,Reece Topley
2025,RCB,Karn Sharma
2025,RCB,Anuj Rawat
2025,RCB,Finn Allen
2025,KKR,Shreyas Iyer
2025,KKR,Nitish Rana
2025,KKR,Rinku Singh
2025,KKR,Andre Russell
2025,KKR,Sunil Narine
2025,KKR,Venkatesh Iyer
2025,KKR,Rahmanullah Gurbaz
2025,KKR,Jason Roy
2025,KKR,Varun Chakravarthy
2025,KKR,Umesh Yadav
2025,KKR,Lockie Ferguson
2025,KKR,Mitchell Starc
2025,KKR,Harshit Rana
2025,KKR,Suyash Sharma
2025,KKR,Anukul Roy
2025,DC,David Warner
2025,DC,Prithvi Shaw
2025,DC,Rishabh Pant
2025,DC,Mitchell Marsh
2025,DC,Axar Patel
2025,DC,Lalit Yadav
2025,DC,Rovman Powell
2025,DC,Kuldeep Yadav
2025,DC,Anrich Nortje
2025,DC,Khaleel Ahmed
2025,DC,Chetan Sakariya
2025,DC,Mukesh Kumar
2025,DC,Ishant Sharma
2025,DC,Sarfaraz Khan
2025,DC,Phil Salt
2025,SRH,Aiden Markram
2025,SRH,Abhishek Sharma
2025,SRH,Rahul Tripathi
2025,SRH,Heinrich Klaasen
2025,SRH,Mayank Agarwal
2025,SRH,Washington Sundar
2025,SRH,Marco Jansen
2025,SRH,Bhuvneshwar Kumar
2025,SRH,Umran Malik
2025,SRH,T Natarajan
2025,SRH,Fazalhaq Farooqi
2025,SRH,Glenn Phillips
2025,SRH,Adil Rashid
2025,SRH,Harry Brook
2025,SRH,Abdul Samad
2025,RR,Sanju Samson
2025,RR,Jos Buttler
2025,RR,Yashasvi Jaiswal
2025,RR,Shimron Hetmyer
2025,RR,Riyan Parag
2025,RR,Dhruv Jurel
2025,RR,Ravichandran Ashwin
2025,RR,Yuzvendra Chahal
2025,RR,Trent Boult
2025,RR,Prasidh Krishna
2025,RR,Sandeep Sharma
2025,RR,Adam Zampa
2025,RR,Jason Holder
2025,RR,Obed McCoy
2025,RR,Devdutt Padikkal
2025,PBKS,Shikhar Dhawan
2025,PBKS,Jonny Bairstow
2025,PBKS,Prabhsimran Singh
2025,PBKS,Liam Livingstone
2025,PBKS,Jitesh Sharma
2025,PBKS,Shahrukh Khan
2025,PBKS,Sam Curran
2025,PBKS,Sikandar Raza
2025,PBKS,Kagiso Rabada
2025,PBKS,Arshdeep Singh
2025,PBKS,Rahul Chahar
2025,PBKS,Nathan Ellis
2025,PBKS,Harpreet Brar
2025,PBKS,Rishi Dhawan
2025,PBKS,Atharva Taide
2025,GT,Shubman Gill
2025,GT,Wriddhiman Saha
2025,GT,Sai Sudharsan
2025,GT,David Miller
2025,GT,Hardik Pandya
2025,GT,Rahul Tewatia
2025,GT,Vijay Shankar
2025,GT,Rashid Khan
2025,GT,Mohammed Shami
